,TEXT,SIZE,FREQMAX,VOLTMAX,AMPMAX
0,"OBJECT: The authors evaluated the preclinical feasibility of acutely stabilizing an active bihemispheric limbic epileptic circuit using closed-loop direct neurostimulation therapy in tandem with ""on-demand"" convection-enhanced intracerebral delivery of the antiepileptic drug (AED) carisbamate. A rat model of electrically induced self-sustained focal-onset epilepsy was employed. METHOD(S): A 16-contact depth-recording microelectrode was implanted bilaterally in the dentate gyrus (DG) of the hippocampus of Fischer 344 rats. The right microelectrode array included an integrated microcatheter for drug delivery at the distal tip. Bihemispheric spontaneous self-sustained limbic status epilepticus (SSLSE) was induced in freely moving rats using a 90-minute stimulation paradigm delivered to the right medial perforant white matter pathway. Immediately following SSLSE induction, closed-loop right PP stimulation therapy concurrent with on-demand nanoboluses of the AED [14C]-carisbamate (n = 4), or on-demand [14C]-carisbamate alone (n = 4), was introduced for a mean of 10 hours. In addition, 2 reference groups received either closed-loop stimulation therapy alone (n = 4) or stimulation therapy with saline vehicle only (n = 4). All animals were sacrificed after completing the specified therapy regimen. In situ [14C]-autoradiography was used to determine AED distribution. RESULT(S): Closed-loop direct stimulation therapy delivered unilaterally in the right PP aborted ictal runs detected in either ipsi-or contralateral hippocampi. Freely moving rats receiving closed-loop direct stimulation therapy with on demand intracerebral carisbamate delivery experienced a significant reduction in seizure frequency (p < 0.001) and minimized seizure frequency variability during the final 50% of the therapy/recording session compared with closed-loop stimulation therapy alone. CONCLUSION(S): Unilateral closed-loop direct stimulation therapy delivered to afferent hippocampal white matter pathways concurrent with on-demand ipsilateral intracerebral delivery of nano-bolused carisbamate can rapidly decrease the frequency of electrographic seizures in an active bihemispheric epileptic network. Additionally, direct pulsatile delivery of carisbamate can stabilize seizure frequency variability compared with direct stimulation therapy alone.Copyright © AANS, 2015.",0,,,
1,"For the past decades, transcranial magnetic stimulation-the method based on the application of magnetic field to the intact brain through the stimulation coil-has been extensively used for investigations of the excitability of the brain. The method is safe and well tolerable in the child population. Existing data suggest three main indications for transcranial magnetic stimulation application in epilepsy as follows: (1) diagnostic measures of cortical excitability; (2) noninvasive functional mapping of epileptogenic zone and cortex prior surgery; and (3) therapeutic modulation of cortical excitability. The abovementioned application areas are reviewed with emphasizing particular aspects in children.Copyright © 2015 by Georg Thieme Verlag KG, Stuttgart * New York.",0,,,
2,"Objective We studied patients treated with chronic DBS in whom there was depletion of the generator's battery, in order to get insight on the modulatory potential of chronic DBS in refractory epilepsy. Material Nine adult patients with refractory epilepsy treated with at least three years of deep brain stimulation (DBS), and who were followed up for at least six months after battery depletion were studied. One patient was treated with hippocampal DBS (Hip-DBS), two to centro-median DBS (CM-DBS) and six to anterior nucleus stimulation (AN-DBS). Results Two patients did not have seizure's frequency modification after battery depletion; the other seven patients had seizure frequency increase, including those three patients that were seizure-free. Five of those seven patients who had seizure frequency increase after battery's depletion had seizure's frequency lower than their pre-DBS baseline seizure frequency; two of such patients returned to their pre-DBS baseline seizure frequency. Conclusions In the majority of the patients, three years of chronic DBS did not show a permanent effect on epileptogenesis. On the other hand, the post-battery depletion seizure's frequency was usually much lower than the baseline (pre-DBS) seizure's frequency, suggesting that there was actual network neuromodulation.Copyright © 2015 International Neuromodulation Society.",9,,,
3,"Introduction: Drug-resistant epilepsy affects 25% of all epileptic patients, and quality of life decreases in these patients due to their seizures. Early detection is crucial in order to establish potential treatment alternatives and determine if the patient is a surgical candidate. Development: PubMed search for articles, recommendations published by major medical societies, and clinical practice guidelines for drug-resistant epilepsy and its medical and surgical treatment options. Evidence and recommendations are classified according to the criteria of the Oxford Centre for Evidence-Based Medicine (2001) and the European Federation of Neurological Societies (2004) for therapeutic actions. Conclusion(s): Identifying patients with drug-resistant epilepsy is important for optimising drug therapy. Experts recommend rational polytherapy with antiepileptic drugs to find more effective combinations with fewer adverse effects. When adequate seizure control is not achieved, a presurgical evaluation in an epilepsy referral centre is recommended. These evaluations explore how to resect the epileptogenic zone without causing functional deficits in cases in which this is feasible. If resective surgery is not achievable, palliative surgery or neurostimulation systems (including vagus nerve, trigeminal nerve, or deep brain stimulation) may be an option. Other treatment alternatives such as ketogenic diet may also be considered in selected patients.Copyright © 2014 Sociedad Espanola de Neurologia.",1,,,
4,"Summary Objective Understanding the neural mechanisms that support human consciousness is an important frontier in neuroscience and medicine. We previously developed a rodent model of temporal lobe seizures that recapitulates the human electroencephalography (EEG) signature of ictal and postictal neocortical slow waves associated with behavioral impairments in level of consciousness. The mechanism of slow-wave production in epilepsy may involve suppression of the subcortical arousal systems including the brainstem and intralaminar thalamic nuclei. We hypothesized that intralaminar thalamic stimulation may lead to electrophysiologic and functional rescue from postictal slow waves and behavioral arrest. Methods We electrically stimulated the central lateral thalamic nucleus (a member of the intralaminar nuclei) under anesthesia and after electrically induced hippocampal seizures in anesthetized and in awake-behaving animal model preparations. Results We demonstrated a proof-of-principle restoration of electrophysiologic and behavioral measures of consciousness by stimulating the intralaminar thalamic nuclei after seizures. We measured decreased cortical slow waves and increased desynchronization and multiunit activity in the cortex with thalamic stimulation following seizures. Functionally, thalamic stimulation produced resumption of exploratory behaviors in the postictal state. Significance Targeting of nodes in the neural circuitry of consciousness has important medical implications. Impaired consciousness with epilepsy has dangerous consequences including decreased school/work performance, social stigmatization, and impaired airway protection. These data suggest a novel therapeutic approach for restoring consciousness after seizures. If paired with responsive neurostimulation, this may allow rapid implementation to improve level of consciousness in patients with epilepsy.Copyright © Wiley Periodicals, Inc. © 2014 International League Against Epilepsy.",0,,,
5,"Background: Drug-resistant epileptic patients account for 40 % of cases of epilepsy. Consequently, specific therapeutic options could be surgical resection or, if not indicated, deep brain stimulation (DBS). The aim of this study is to review data from patients affected by drug-resistant complex partial epilepsy with or without generalization treated by anterior thalamic nucleus (AN) DBS to evaluate the efficacy and potential future applications of this approach as a standard method for palliative seizure control. Method(s): Six patients affected by drug-resistant complex partial seizures underwent AN DBS from March 2007 to February 2011. The preoperative tests consisted of electroencephalography (EEG), video EEG, morphologic and functional magnetic resonance imaging (MRI), non-acute positron emission tomography (PET), neuropsychological evaluation, Liverpool seizure scale, and Quality Of Life In Epilepsy (QOLIE). These tests and a seizure diary were also administered during a follow-up of at least 3 years. Result(s): The improvement in terms of decrease of seizures was more than 50 % in patients affected by complex partial seizures strictly related to limbic system origin. The amelioration was unsatisfactory for patients having anatomical lesions outside the limbic structures with evidence of late diffusion in limbic areas. One patient died 40 days after surgery for reasons not concerned with DBS. Conclusion(s): Although the limited number of enrolled patients limits the reliability of data, the results are in accordance with those found in the recent literature and deserve to be considered for further studies regarding real efficacy, indications, stimulation parameters, side effects, and complications.Copyright © 2015, Springer-Verlag Wien.",6,,,
6,"Objective The optimal sites and stimulation protocols for brain stimulation in epilepsy have not been found. Clinical trials, which have shown modest benefit in seizure reduction, have involved patients with poorly localized intractable focal epilepsy and stimulation sites without clear relations to specific underlying seizure circuits. The medial dorsal thalamic nucleus is a key node in limbic seizure circuits, and we wished to know what stimulation parameters might control seizures in a kindling model of limbic epilepsy. Methods In urethane-anesthetized rats, we induced limbic seizures by stimulation of the piriform cortex or CA3 of the hippocampus while recording in the entorhinal cortex or CA1 of the contralateral hippocampus to determine the effect of specific stimulation parameters on seizure duration. Results Stimulation consistently suppressed seizure duration from baseline by over 80% (p < 0.001), frequently completely preventing the seizures. Position of the thalamic electrode, stimulus intensity and frequency had a significant influence, with higher stimulus intensities (40 V vs. 20 V) and frequencies (20 Hz vs. 7 Hz) significantly suppressing seizures. The most effective position was the lateral dorsal area of the medial dorsal nucleus (MD), which corresponded to the region of axon entry. Stimulation in the MD center was not effective. An anterior-posterior relationship of the stimulating electrode pair was effective, whereas a medial lateral orientation was not. Successful stimulation suppressed the evoked responses in the entorhinal cortex or CA1. Significance Position and orientation of the stimulating electrode has to be precise, which suggests that the placement of the electrodes must be tailored to the individual's own seizure circuit. The data also indicate that successful deep brain stimulation induces a fundamental change in system physiology, which could be a marker to guide the development of stimulation parameters for each patient.Copyright © Wiley Periodicals, Inc. © 2015 International League Against Epilepsy.",0,,40.0,
7,"Objectives The aim of this study was to analyze the impact of deep brain stimulation (DBS) of the posteromedial hypothalamus (pHyp) on seizure frequency in patients with drug-resistant epilepsy (DRE) associated with intractable aggressive behavior (IAB). Methods Data were collected retrospectively from nine patients, who received bilateral stereotactic pHyp-DBS for the treatment of medically intractable aggressive behavior, focusing on five patients who also had DRE. All patients were treated at the Colombian Center and Foundation of Epilepsy and Neurological Diseases - FIRE (Chapter of the International Bureau for Epilepsy), in Cartagena de Indias, Colombia from 2010 to 2014. Each case was evaluated previously by the institutional ethical committee, assessing the impact of aggressive behavior on the patient's family and social life, the humanitarian aspects of preserving the safety and physical integrity of caregivers, and the need to prevent self-harm. Epilepsy improvement was measured by a monthly seizure reduction percentage, comparing preoperative state and outcome. Additional response to epilepsy was defined by reduction of the antiepileptic drugs (AEDs). Aggressive behavior response was measured using the Overt Aggression Scale (OAS). Results All the patients with DRE associated with IAB presented a significant decrease of the rate of epileptic seizures after up to 4 years follow-up, achieving a general 89.6% average seizure reduction from the state before the surgery. Aggressiveness was significantly controlled, with evident improvement in the OAS, enhancing the quality of life of patients and families. Significance In well-selected patients, DBS of the pHyp seems to be a safe and effective procedure for treatment of DRE associated with refractory aggressive behavior. Larger and prospective series are needed to define the pHyp as a target for DRE in different contexts.Copyright © Wiley Periodicals, Inc. © 2015 International League Against Epilepsy.",9,,,
8,"In epilepsy, novel pharmacological and nonpharmacological treatment approaches are commonly assessed in model systems of acute motor and often generalized seizures. We developed a rodent model with short-term electrical stimulation of the perforant path resulting in stereotyped limbic seizures. Limbic structures play a major role in human intractable epilepsy. In 10 rats, single electrical 5-second and 20-Hz stimuli to the perforant path reliably produced limbic seizures characterized by resting behavior and subtle motor signs. Electrophysiological recordings from the dentate gyrus demonstrated a seizure pattern with 4-Hz to 5-Hz discharges. Multiple inductions of seizures within 72 hours did not alter behavioral and electrophysiological seizure characteristics. Electrophysiological excitatory and inhibitory parameters assessed by evoked single and paired pulses did not change with increasing number of seizures. We present preliminary findings on a new model of electrically induced limbic seizures of mesiotemporal origin. This model may represent a reliable screening tool for new treatment approaches such as deep brain stimulation.Copyright © the authors, publisher and licensee Libertas Academica Limited.",0,,,
9,"Objective: To study the efficacy and possible mechanism of deep brain stimulation (DBS) in bilateral anterior thalamic nuclei (ATN) for drug-resistant epilepsy. Method(s): Three cases with drug-resistant epilepsy underwent DBS in bilateral ATN. Preoperative and postoperative assessment included the frequency of seizures, seizure types, kinds and dosage of anti-epileptic drugs (AEDs), and imaging and EEG examination. Result(s): Case 1 was followed up for 28 months, with only one seizure attack occurred due to missing doses. Video EEG (VEEG) during the follow-up period showed that a single unilateral spike-slow wave discharge was found by accident in one year after DBS. As for Case 2, intermittent time was significantly prolonged during the follow-up of 24 months. VEEG during the follow-up period showed interictal right frontal-central-parietal slow wave. Case 3 was followed up for 3 months, and VEEG examination during the follow-up period revealed decrease of diffuse spike-slow wave, while bilateral occipital spike-slow wave could be seen in interictal phase. Without any change of type and dose in taking AEDs after DBS, seizure frequency was reduced by 100% in Case 1, 25% in Case 2, and almost 55% in Case 3. Conclusion(s): DBS therapy is an effective treatment for drug-resistant epilepsy. It could significantly reduce the frequency of attacks, or even completely control the attack, and improve the patients' quality of life.Copyright © 2015 by the Editorial Board of Chinese Journal of Contemporary Neurology and Neurosurgery.",0,,,
